id,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
79,AfUHKcKtu,jewtarded,The combination of 'jew' and 'retarded',,TRUE,,98,eng,,jewtard,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,11/1/2018 20:35,10/30/2019 19:22
80,7e7d4zV6R,jigaboo,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,TRUE,,99,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2826,189,14,6/22/2013 0:12,10/30/2019 19:22
81,m3hnwsCjb,jewtard,The combination of 'jew' and 'retard',,TRUE,,99,eng,,,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,26,2,0,11/1/2018 19:42,10/30/2019 18:19
179,AfUHKcKtu,jewtarded,The combination of 'jew' and 'retarded',,TRUE,,98,eng,,jewtard,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,11/1/2018 20:35,10/30/2019 19:22
180,7e7d4zV6R,jigaboo,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,TRUE,,99,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2826,189,14,6/22/2013 0:12,10/30/2019 19:22
181,m3hnwsCjb,jewtard,The combination of 'jew' and 'retard',,TRUE,,99,eng,,,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,26,2,0,11/1/2018 19:42,10/30/2019 18:19
235,qWheZhmUE,krauts,"A German, most specifically during World War II. From Sauerkraut.",,TRUE,,50,eng,kraut,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1075,119,19,11/1/2018 20:35,10/24/2019 15:43
252,bWgz9jJed,niggers,A black person.,,TRUE,,100,eng,nigger,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2059,209,30,11/1/2018 20:36,10/18/2019 17:26
253,3wfWp8aQB,nigger,A black person.,,TRUE,,100,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4697,175,21,4/2/2013 4:00,10/18/2019 17:26
268,FZLzRqPbD,nigger-rig,To poorly repair or assemble something,,TRUE,,98,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16,2,0,11/1/2018 19:42,5/10/2019 18:57
367,XfyXhcwTY,durka durkas,,,TRUE,,,eng,durka durka,derka derka,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,28,2,0,2/28/2019 19:52,3/1/2019 21:03
368,AYsdMFEPc,durka durka,,,TRUE,,,eng,,derka derka,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,76,10,0,2/28/2019 19:52,3/1/2019 21:03
369,XTqrx9beD,derka derkas,,,TRUE,,,eng,derka derka,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,0,0,2/28/2019 19:51,3/1/2019 21:02
374,rTiXRYQED,closet dykes,,,TRUE,,,eng,closet dyke,closet fag,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,22,1,0,2/28/2019 19:39,3/1/2019 20:59
375,uWzcbfz7a,closet dyke,,,TRUE,,50,eng,,closet fag,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,68,3,0,2/28/2019 19:39,3/1/2019 20:59
376,JUpgYbNiw,black dagoes,,,TRUE,,,eng,black dago,black dagos,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2/28/2019 19:18,3/1/2019 20:58
377,qc6VTyKxJ,border baby,,,TRUE,,,eng,,anchor baby,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,39,5,1,2/28/2019 19:21,3/1/2019 20:58
378,ND9gokkqL,border babies,,,TRUE,,,eng,border baby,anchor baby,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19,4,0,2/28/2019 19:22,3/1/2019 20:57
435,vsnYRahpZ,pickinninys,,,TRUE,,,eng,pickinniny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1/9/2019 19:01,1/9/2019 19:01
436,RJWjxxNtL,piccaninnys,,,TRUE,,,eng,piccaninny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,0,0,1/9/2019 18:59,1/9/2019 18:59
437,xUMRLtwiv,piccaninnies,,,TRUE,,,eng,piccaninny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,279,29,1,1/9/2019 18:59,1/9/2019 18:59
438,qfapWDnww,picaninnys,,,TRUE,,100,eng,,picaninnies,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,0,1/9/2019 18:57,1/9/2019 18:57
439,oDwcfmbdk,pickaninnies,,,TRUE,,100,eng,,pickaninnys,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,611,42,3,1/9/2019 18:55,1/9/2019 18:56
440,EntJtHM6F,pickinninies,,,TRUE,,,eng,pickinniny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,0,0,1/9/2019 18:54,1/9/2019 18:54
441,isCycKTmX,pickinniny,,,TRUE,,,eng,,picaninny,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,0,1/9/2019 18:53,1/9/2019 18:53
442,KGhbbRVqZ,piccaninny,,,TRUE,,,eng,,picaninny,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,278,19,3,1/9/2019 18:52,1/9/2019 18:52
443,BUZsxDtj7,picaninnies,,,TRUE,,,eng,pickaninny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,415,18,0,1/9/2019 18:51,1/9/2019 18:52
444,yVvMWnYnL,picaninny,A black child,,TRUE,,,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,446,42,3,1/9/2019 18:50,1/9/2019 18:50
456,9f6AxHr39,smoke jumper,A Caucasian woman who dates a black man.,,TRUE,,81,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,676,26,9,6/23/2013 6:40,1/9/2019 18:10
474,xpXPgvbQc,niggerdick,"The penis of a man of African descent, or a person with a large penis; likely popularized online for shock value",,TRUE,,,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,43,2,0,1/7/2019 18:16,1/9/2019 16:28
475,DUmsUwboc,niggerdicks,,,TRUE,,,eng,niggerdick,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,1/7/2019 18:16,1/9/2019 16:28
476,yrQisUkDo,niggerton,A town or part of town containing majority black population,,TRUE,,,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,2,0,1/7/2019 18:32,1/9/2019 16:27
477,ftrnzUEbH,niggertown,A town or part of town containing majority black population,,TRUE,,100,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32,1,0,1/7/2019 18:31,1/9/2019 16:27
478,8nveQCoVU,niggerville,A town or part of town containing majority black population,,TRUE,,97,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,129,6,0,1/7/2019 18:34,1/9/2019 16:27
479,BkYxA4AFB,retarded,"A disabled person, from 'retarded'.",,TRUE,,64,eng,,retard,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2215,191,28,10/15/2013 12:43,1/9/2019 16:27
480,CaoXkrFNd,shekelnose,"Combines two anti-Semitic stereotypes: that of Jewish greed (hence the reference to ""shekel"", the currency of historical and modern Israel) and that of having a large nose.",,TRUE,,100,eng,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,11/15/2018 6:46,1/9/2019 16:25
482,jjUUrQcqy,kikesberg,,,TRUE,,99,eng,,kike,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,0,0,11/15/2018 6:43,1/9/2019 16:13
488,oBAmPQUNi,pisslam,Derogatory portmanteau of 'piss' and 'islam',,TRUE,,100,eng,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,973,116,15,11/1/2018 19:42,1/9/2019 14:49
494,XpNDiLAz2,gender nigger,A transgender person,,TRUE,,99,eng,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,0,11/27/2018 12:14,1/7/2019 18:44
500,Q2cAUGjUq,black dago,[1] A Sicilian [2] A darker-skinned Italian [3] An Italian of allegedly African ancestry,,TRUE,,76,eng,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,12/10/2013 20:56,1/7/2019 17:48
506,6FZyrdUXX,Zionazi,"Contraction of Zionist and Nazi, making a false comparison between Jews who support Israel's right to exist and Nazis.",,TRUE,,86,eng,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2397,34,2,4/9/2013 7:48,11/15/2018 15:06
508,HpgGojWdy,sand niglet,A child of Middle Eastern descent,,TRUE,,99,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,11/1/2018 20:39,11/1/2018 20:39
509,DLFeCwJMW,sand niglets,A child of Middle Eastern descent,,TRUE,,,eng,sand niglet,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,11/1/2018 20:39,11/1/2018 20:39
510,sEMTfxuxh,Zionazis,A Jew living in Israel,,TRUE,,,eng,Zionazi,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,568,40,8,11/1/2018 20:38,11/1/2018 20:38
514,gitNpNAas,ZOG lovers,Used by white supremacists to denote one who is subservient to Jewish people.,,TRUE,,,eng,ZOG lover,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,11/1/2018 20:38,11/1/2018 20:38
516,QYqdHchmG,zigabos,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,TRUE,,50,eng,zigabo,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,11/1/2018 20:38,11/1/2018 20:38
517,UsbtrtiyQ,ziojews,Derogatory term for a Jewish zionist or those being accused of such,,TRUE,,,eng,ziojew,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,41,0,0,11/1/2018 20:38,11/1/2018 20:38
518,QoVZRw zv,yellow invaders,Accusative term for refugees or immigrants from Asia,,TRUE,,,eng,yellow invader,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,11/1/2018 20:38,11/1/2018 20:38
520,EZQUVuQzZ,yids,"A Jewish person, although it is an endonym among Yiddish-speaking Jews. (The term is also used positively in Britain for Tottenham Hotspur fans (often proudly by themselves, for example calling themselves 'the Yid Army'), which includes a large Jewish supporting base from north-east London.)",,TRUE,,,eng,yid,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1501,135,14,11/1/2018 20:38,11/1/2018 20:38
524,jUUBYKUKJ,yard apes,A black person,,TRUE,,,eng,yard ape,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,187,39,0,11/1/2018 20:38,11/1/2018 20:38
527,gmronnNyG,wogs,"A swarthy or dark-skinned foreigner. Possibly derived from 'golliwogg' In Britain, it usually refers to dark skinned people from Asia or Africa, though some use the term to refer to anyone outside the borders of their own country. In Australia the term 'wog' is usually used to refer to Mediterranean Europeans (Spaniards, Italians, and Greeks) although it can be used for some Eastern Europeans, particularly those of the Balkans (Bosnians, Macedonians, Serbians, Croatians, or Albanians).",,TRUE,,,eng,wog,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1869,151,10,11/1/2018 20:38,11/1/2018 20:38
528,HPytDzfra,wops,"A person of Italian descent, derived from the Italian dialectism, 'guappo,' close to 'dude, swaggerer' and other informal appellations, a greeting among male Neapolitans.",,TRUE,,63,eng,wop,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1538,128,8,11/1/2018 20:38,11/1/2018 20:38
529,tafapiusm,wopspeak,The Italian language,,TRUE,,96,eng,,wop,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,11/1/2018 20:38,11/1/2018 20:38
531,Zmm2kVbjE,wiggas,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,TRUE,,,eng,wigga,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2877,225,19,11/1/2018 20:38,11/1/2018 20:38
532,KokCnGPcV,wiggerettes,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,TRUE,,,eng,wiggerette,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,11/1/2018 20:38,11/1/2018 20:38
533,oxfgmefpr,wiggers,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,TRUE,,,eng,wigger,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,418,46,4,11/1/2018 20:38,11/1/2018 20:38
535,Lq7fbfLtc,whiggers,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,TRUE,,,eng,whigger,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,427,12,1,11/1/2018 20:38,11/1/2018 20:38
536, jUV4KZZt,white niggers,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,TRUE,,,eng,white nigger,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,46,7,0,11/1/2018 20:38,11/1/2018 20:38
539,YhHYLhAMB,wegroes,A white person who is acting like a black person,,TRUE,,,eng,wegro,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,1,0,11/1/2018 20:38,11/1/2018 20:38
540,DVoCcFbTq,wetbacks,"A person of Latino descent, particularly a Mexican migrant laborer.",,TRUE,,,eng,wetback,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1721,161,25,11/1/2018 20:38,11/1/2018 20:38
541,b2EWATroi,wexicans,A person of mixed Caucasian and Mexican parentage.,,TRUE,,,eng,wexican,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,81,9,1,11/1/2018 20:38,11/1/2018 20:38
542,ypaTZ2vrR,whiggas,A white person who is acting like a black person,,TRUE,,63,eng,whigga,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,334,22,1,11/1/2018 20:38,11/1/2018 20:38
545,xsRQpaGf2,Uncle Toms,A black person perceived as behaving in a subservient manner to white authority figures.,A person's name,TRUE,,100,eng,Uncle Tom,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,968,96,22,11/1/2018 20:38,11/1/2018 20:38
546,ZCx7dvPTY,Velcro heads,A black person (referencing stereotypical hair type).,,TRUE,,,eng,Velcro head,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,11/1/2018 20:38,11/1/2018 20:38
547,pcGcvDVdd,wagon burners,A Native American person.,,TRUE,,,eng,wagon burner,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,90,2,0,11/1/2018 20:38,11/1/2018 20:38
556,xMvg2UkAs,tree niggers,A Native American person,,TRUE,,100,eng,tree nigger,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14,1,1,11/1/2018 20:38,11/1/2018 20:38
560,GuYiHDLgo,towel heads,"An Arab, Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.",,TRUE,,,eng,towel head,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1032,72,16,11/1/2018 20:38,11/1/2018 20:38
561,ZxmhaszCv,trannies,Plural of 'tranny',,TRUE,,75,eng,tranny,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1664,168,29,11/1/2018 20:38,11/1/2018 20:38
568,MrfsxZVBM,timber niggers,A Native American.,,TRUE,,,eng,timber nigger,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,11/1/2018 20:38,11/1/2018 20:38
578,bPnWdfTou,taco niggers,An Hispanic person,,TRUE,,,eng,taco nigger,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,1,0,11/1/2018 20:38,11/1/2018 20:38
581,FWDGGUctK,tar babies,A black child.,,TRUE,,,eng,tar baby,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,495,50,4,11/1/2018 20:38,11/1/2018 20:38
585,y6fxUas7r,stump jumpers,"Used by poor rural people to denote those of lower status than themselves, particularly those who commit incest (jumping the family tree).",,TRUE,,,eng,stump jumper,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,119,16,2,11/1/2018 20:38,11/1/2018 20:38
590,pwhe4Loqx,spiggotties,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,TRUE,,,eng,spigotty,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,11/1/2018 20:38,11/1/2018 20:38
594,WdLkoEubk,spicspeak,The Spanish language,,TRUE,,100,eng,,spic,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,11/1/2018 20:38,11/1/2018 20:38
596,Lbwq9fsvR,spiggers,A person of mixed Hispanic and black parentage.,,TRUE,,,eng,spigger,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,0,0,11/1/2018 20:38,11/1/2018 20:38
597,gZsoZPhxL,spickish,Adjective for the nature of 'spic',,TRUE,,91,eng,,spick,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,11/1/2018 20:38,11/1/2018 20:38
598,XxyNieXqR,spiclet,The diminuitive of 'spic',,TRUE,,75,eng,,spic,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,0,11/1/2018 20:38,11/1/2018 20:38
600,cRECvkMPL,spicish,Alternative spelling for adjective for the nature of 'spic',,TRUE,,99,eng,,spic,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,1,0,11/1/2018 20:38,11/1/2018 20:38
601,LW8MoCHom,spickaboos,A person of mixed Hispanic and black parentage.,,TRUE,,,eng,spickaboo,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,11/1/2018 20:38,11/1/2018 20:38
603,yYbvmedYn,spear chuckers,"A term used for an African American, or other person of African descent.",,TRUE,,,eng,spear chucker,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,383,38,8,11/1/2018 20:36,11/1/2018 20:36
605,FfWFkqEoi,spice niggers,A black person.,,TRUE,,100,eng,spice nigger,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,11/1/2018 20:36,11/1/2018 20:36
611,ZbyMopdok,smoke jumpers,A Caucasian woman who dates a black man.,,TRUE,,,eng,smoke jumper,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,469,42,3,11/1/2018 20:36,11/1/2018 20:36
612,zDPNKZQXJ,smoked Irishmen,A 19th century term for a black person (intended to insult both black people and Irish).,,TRUE,,,eng,smoked Irishman,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,11/1/2018 20:36,11/1/2018 20:36
623,pVGfoJcrT,slant eyes,"A person of Asian origin (Chinese, Japanese, Korean, Vietnamese etc.) Derived from the term for those who have epicanthic folds.",,TRUE,,100,eng,slant eye,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,412,51,8,11/1/2018 20:36,11/1/2018 20:36
624,ntnTtkfis,sideways vaginas,"An Asian woman, particularly of Chinese descent.",,TRUE,,100,eng,sideways vagina,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,80,3,0,11/1/2018 20:36,11/1/2018 20:36
630,AxthmQzrx,sideways cooters,"An Asian woman, particularly of Chinese descent.",,TRUE,,,eng,sideways cooter,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,11/1/2018 20:36,11/1/2018 20:36
631,VoKTKJMXA,sideways pussies,"An Asian woman, particularly of Chinese descent.",,TRUE,,88,eng,sideways pussy,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37,2,0,11/1/2018 20:36,11/1/2018 20:36
636,WHmXNkkyw,shemales,[1] A transexual person. [2] A transgendered person. [3] An allegedly masculine woman.,,TRUE,,,eng,shemale,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,139,8,0,11/1/2018 20:36,11/1/2018 20:36
